"orderNumber","orderDate","requiredDate","shippedDate","status","comments","customerNumber"
10100,"01/06/2003 00:00:00","01/13/2003 00:00:00","01/10/2003 00:00:00","Shipped",,363
10101,"01/09/2003 00:00:00","01/18/2003 00:00:00","01/11/2003 00:00:00","Shipped","Check on availability.",128
10102,"01/10/2003 00:00:00","01/18/2003 00:00:00","01/14/2003 00:00:00","Shipped",,181
10103,"01/29/2003 00:00:00","02/07/2003 00:00:00","02/02/2003 00:00:00","Shipped",,121
10104,"01/31/2003 00:00:00","02/09/2003 00:00:00","02/01/2003 00:00:00","Shipped",,141
10105,"02/11/2003 00:00:00","02/21/2003 00:00:00","02/12/2003 00:00:00","Shipped",,145
10106,"02/17/2003 00:00:00","02/24/2003 00:00:00","02/21/2003 00:00:00","Shipped",,278
10107,"02/24/2003 00:00:00","03/03/2003 00:00:00","02/26/2003 00:00:00","Shipped","Difficult to negotiate with customer. We need more marketing materials",131
10108,"03/03/2003 00:00:00","03/12/2003 00:00:00","03/08/2003 00:00:00","Shipped",,385
10109,"03/10/2003 00:00:00","03/19/2003 00:00:00","03/11/2003 00:00:00","Shipped","Customer requested that FedEx Ground is used for this shipping",486
10110,"03/18/2003 00:00:00","03/24/2003 00:00:00","03/20/2003 00:00:00","Shipped",,187
10111,"03/25/2003 00:00:00","03/31/2003 00:00:00","03/30/2003 00:00:00","Shipped",,129
10112,"03/24/2003 00:00:00","04/03/2003 00:00:00","03/29/2003 00:00:00","Shipped","Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",144
10113,"03/26/2003 00:00:00","04/02/2003 00:00:00","03/27/2003 00:00:00","Shipped",,124
10114,"04/01/2003 00:00:00","04/07/2003 00:00:00","04/02/2003 00:00:00","Shipped",,172
10115,"04/04/2003 00:00:00","04/12/2003 00:00:00","04/07/2003 00:00:00","Shipped",,424
10116,"04/11/2003 00:00:00","04/19/2003 00:00:00","04/13/2003 00:00:00","Shipped",,381
10117,"04/16/2003 00:00:00","04/24/2003 00:00:00","04/17/2003 00:00:00","Shipped",,148
10118,"04/21/2003 00:00:00","04/29/2003 00:00:00","04/26/2003 00:00:00","Shipped","Customer has worked with some of our vendors in the past and is aware of their MSRP",216
10119,"04/28/2003 00:00:00","05/05/2003 00:00:00","05/02/2003 00:00:00","Shipped",,382
10120,"04/29/2003 00:00:00","05/08/2003 00:00:00","05/01/2003 00:00:00","Shipped",,114
10121,"05/07/2003 00:00:00","05/13/2003 00:00:00","05/13/2003 00:00:00","Shipped",,353
10122,"05/08/2003 00:00:00","05/16/2003 00:00:00","05/13/2003 00:00:00","Shipped",,350
10123,"05/20/2003 00:00:00","05/29/2003 00:00:00","05/22/2003 00:00:00","Shipped",,103
10124,"05/21/2003 00:00:00","05/29/2003 00:00:00","05/25/2003 00:00:00","Shipped","Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch",112
10125,"05/21/2003 00:00:00","05/27/2003 00:00:00","05/24/2003 00:00:00","Shipped",,114
10126,"05/28/2003 00:00:00","06/07/2003 00:00:00","06/02/2003 00:00:00","Shipped",,458
10127,"06/03/2003 00:00:00","06/09/2003 00:00:00","06/06/2003 00:00:00","Shipped","Customer requested special shippment. The instructions were passed along to the warehouse",151
10128,"06/06/2003 00:00:00","06/12/2003 00:00:00","06/11/2003 00:00:00","Shipped",,141
10129,"06/12/2003 00:00:00","06/18/2003 00:00:00","06/14/2003 00:00:00","Shipped",,324
10130,"06/16/2003 00:00:00","06/24/2003 00:00:00","06/21/2003 00:00:00","Shipped",,198
10131,"06/16/2003 00:00:00","06/25/2003 00:00:00","06/21/2003 00:00:00","Shipped",,447
10132,"06/25/2003 00:00:00","07/01/2003 00:00:00","06/28/2003 00:00:00","Shipped",,323
10133,"06/27/2003 00:00:00","07/04/2003 00:00:00","07/03/2003 00:00:00","Shipped",,141
10134,"07/01/2003 00:00:00","07/10/2003 00:00:00","07/05/2003 00:00:00","Shipped",,250
10135,"07/02/2003 00:00:00","07/12/2003 00:00:00","07/03/2003 00:00:00","Shipped",,124
10136,"07/04/2003 00:00:00","07/14/2003 00:00:00","07/06/2003 00:00:00","Shipped","Customer is interested in buying more Ferrari models",242
10137,"07/10/2003 00:00:00","07/20/2003 00:00:00","07/14/2003 00:00:00","Shipped",,353
10138,"07/07/2003 00:00:00","07/16/2003 00:00:00","07/13/2003 00:00:00","Shipped",,496
10139,"07/16/2003 00:00:00","07/23/2003 00:00:00","07/21/2003 00:00:00","Shipped",,282
10140,"07/24/2003 00:00:00","08/02/2003 00:00:00","07/30/2003 00:00:00","Shipped",,161
10141,"08/01/2003 00:00:00","08/09/2003 00:00:00","08/04/2003 00:00:00","Shipped",,334
10142,"08/08/2003 00:00:00","08/16/2003 00:00:00","08/13/2003 00:00:00","Shipped",,124
10143,"08/10/2003 00:00:00","08/18/2003 00:00:00","08/12/2003 00:00:00","Shipped","Can we deliver the new Ford Mustang models by end-of-quarter?",320
10144,"08/13/2003 00:00:00","08/21/2003 00:00:00","08/14/2003 00:00:00","Shipped",,381
10145,"08/25/2003 00:00:00","09/02/2003 00:00:00","08/31/2003 00:00:00","Shipped",,205
10146,"09/03/2003 00:00:00","09/13/2003 00:00:00","09/06/2003 00:00:00","Shipped",,447
10147,"09/05/2003 00:00:00","09/12/2003 00:00:00","09/09/2003 00:00:00","Shipped",,379
10148,"09/11/2003 00:00:00","09/21/2003 00:00:00","09/15/2003 00:00:00","Shipped","They want to reevaluate their terms agreement with Finance.",276
10149,"09/12/2003 00:00:00","09/18/2003 00:00:00","09/17/2003 00:00:00","Shipped",,487
10150,"09/19/2003 00:00:00","09/27/2003 00:00:00","09/21/2003 00:00:00","Shipped","They want to reevaluate their terms agreement with Finance.",148
10151,"09/21/2003 00:00:00","09/30/2003 00:00:00","09/24/2003 00:00:00","Shipped",,311
10152,"09/25/2003 00:00:00","10/03/2003 00:00:00","10/01/2003 00:00:00","Shipped",,333
10153,"09/28/2003 00:00:00","10/05/2003 00:00:00","10/03/2003 00:00:00","Shipped",,141
10154,"10/02/2003 00:00:00","10/12/2003 00:00:00","10/08/2003 00:00:00","Shipped",,219
10155,"10/06/2003 00:00:00","10/13/2003 00:00:00","10/07/2003 00:00:00","Shipped",,186
10156,"10/08/2003 00:00:00","10/17/2003 00:00:00","10/11/2003 00:00:00","Shipped",,141
10157,"10/09/2003 00:00:00","10/15/2003 00:00:00","10/14/2003 00:00:00","Shipped",,473
10158,"10/10/2003 00:00:00","10/18/2003 00:00:00","10/15/2003 00:00:00","Shipped",,121
10159,"10/10/2003 00:00:00","10/19/2003 00:00:00","10/16/2003 00:00:00","Shipped",,321
10160,"10/11/2003 00:00:00","10/17/2003 00:00:00","10/17/2003 00:00:00","Shipped",,347
10161,"10/17/2003 00:00:00","10/25/2003 00:00:00","10/20/2003 00:00:00","Shipped",,227
10162,"10/18/2003 00:00:00","10/26/2003 00:00:00","10/19/2003 00:00:00","Shipped",,321
10163,"10/20/2003 00:00:00","10/27/2003 00:00:00","10/24/2003 00:00:00","Shipped",,424
10165,"10/22/2003 00:00:00","10/31/2003 00:00:00","12/26/2003 00:00:00","Shipped","This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received",148
10166,"10/21/2003 00:00:00","10/30/2003 00:00:00","10/27/2003 00:00:00","Shipped",,462
10168,"10/28/2003 00:00:00","11/03/2003 00:00:00","11/01/2003 00:00:00","Shipped",,161
10169,"11/04/2003 00:00:00","11/14/2003 00:00:00","11/09/2003 00:00:00","Shipped",,276
10170,"11/04/2003 00:00:00","11/12/2003 00:00:00","11/07/2003 00:00:00","Shipped",,452
10171,"11/05/2003 00:00:00","11/13/2003 00:00:00","11/07/2003 00:00:00","Shipped",,233
10172,"11/05/2003 00:00:00","11/14/2003 00:00:00","11/11/2003 00:00:00","Shipped",,175
10173,"11/05/2003 00:00:00","11/15/2003 00:00:00","11/09/2003 00:00:00","Shipped","Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",278
10174,"11/06/2003 00:00:00","11/15/2003 00:00:00","11/10/2003 00:00:00","Shipped",,333
10175,"11/06/2003 00:00:00","11/14/2003 00:00:00","11/09/2003 00:00:00","Shipped",,324
10176,"11/06/2003 00:00:00","11/15/2003 00:00:00","11/12/2003 00:00:00","Shipped",,386
10177,"11/07/2003 00:00:00","11/17/2003 00:00:00","11/12/2003 00:00:00","Shipped",,344
10178,"11/08/2003 00:00:00","11/16/2003 00:00:00","11/10/2003 00:00:00","Shipped","Custom shipping instructions sent to warehouse",242
10180,"11/11/2003 00:00:00","11/19/2003 00:00:00","11/14/2003 00:00:00","Shipped",,171
10181,"11/12/2003 00:00:00","11/19/2003 00:00:00","11/15/2003 00:00:00","Shipped",,167
10182,"11/12/2003 00:00:00","11/21/2003 00:00:00","11/18/2003 00:00:00","Shipped",,124
10183,"11/13/2003 00:00:00","11/22/2003 00:00:00","11/15/2003 00:00:00","Shipped","We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.",339
10184,"11/14/2003 00:00:00","11/22/2003 00:00:00","11/20/2003 00:00:00","Shipped",,484
10185,"11/14/2003 00:00:00","11/21/2003 00:00:00","11/20/2003 00:00:00","Shipped",,320
10186,"11/14/2003 00:00:00","11/20/2003 00:00:00","11/18/2003 00:00:00","Shipped","They want to reevaluate their terms agreement with the VP of Sales",489
10187,"11/15/2003 00:00:00","11/24/2003 00:00:00","11/16/2003 00:00:00","Shipped",,211
10188,"11/18/2003 00:00:00","11/26/2003 00:00:00","11/24/2003 00:00:00","Shipped",,167
10189,"11/18/2003 00:00:00","11/25/2003 00:00:00","11/24/2003 00:00:00","Shipped","They want to reevaluate their terms agreement with Finance.",205
10190,"11/19/2003 00:00:00","11/29/2003 00:00:00","11/20/2003 00:00:00","Shipped",,141
10191,"11/20/2003 00:00:00","11/30/2003 00:00:00","11/24/2003 00:00:00","Shipped","We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.",259
10192,"11/20/2003 00:00:00","11/29/2003 00:00:00","11/25/2003 00:00:00","Shipped",,363
10193,"11/21/2003 00:00:00","11/28/2003 00:00:00","11/27/2003 00:00:00","Shipped",,471
10194,"11/25/2003 00:00:00","12/02/2003 00:00:00","11/26/2003 00:00:00","Shipped",,146
