"customerNumber","customerName","addressLine1","addressLine2","city","state"
237,"ANG Resellers","Gran Vía, 1",,"Madrid",
187,"AV Stores, Co.","Fauntleroy Circus",,"Manchester",
242,"Alpha Cognac","1 rue Alsace-Lorraine",,"Toulouse",
168,"American Souvenirs Inc","149 Spinnaker Dr.","Suite 101","New Haven","CT"
249,"Amica Models & Co.","Via Monte Bianco 34",,"Torino",
276,"Anna's Decorations, Ltd","201 Miller Street","Level 15","North Sydney","NSW"
465,"Anton Designs, Ltd.","c/ Gobelas, 19-1 Urb. La Florida",,"Madrid",
206,"Asian Shopping Network, Co","Suntec Tower Three","8 Temasek","Singapore",
348,"Asian Treasures, Inc.","8 Johnstown Road",,"Cork","Co. Cork"
103,"Atelier graphique","54, rue Royale",,"Nantes",
471,"Australian Collectables, Ltd","7 Allen Street",,"Glen Waverly","Victoria"
114,"Australian Collectors, Co.","636 St Kilda Road","Level 3","Melbourne","Victoria"
333,"Australian Gift Network, Co","31 Duncan St. West End",,"South Brisbane","Queensland"
256,"Auto Associés & Cie.","67, avenue de l'Europe",,"Versailles",
406,"Auto Canal+ Petit","25, rue Lauriston",,"Paris",
198,"Auto-Moto Classics Inc.","16780 Pompton St.",,"Brickhaven","MA"
293,"BG&E Collectables","Rte des Arsenaux 41 ",,"Fribourg",
121,"Baane Mini Imports","Erling Skakkes gate 78",,"Stavern",
415,"Bavarian Collectables Imports, Co.","Hansastr. 15",,"Munich",
128,"Blauer See Auto, Co.","Lyonerstr. 34",,"Frankfurt",
219,"Boards & Toys Co.","4097 Douglas Av.",,"Glendale","CA"
344,"CAF Imports","Merchants House","27-30 Merchant's Quay","Madrid",
173,"Cambridge Collectables Co.","4658 Baden Av.",,"Cambridge","MA"
202,"Canadian Gift Exchange Network","1900 Oak St.",,"Vancouver","BC"
339,"Classic Gift Ideas, Inc","782 First Street",,"Philadelphia","PA"
424,"Classic Legends Inc.","5905 Pompton St.","Suite 750","NYC","NY"
189,"Clover Collections, Co.","25 Maiden Lane","Floor No. 4","Dublin",
239,"Collectable Mini Designs Co.","361 Furth Circle",,"San Diego","CA"
379,"Collectables For Less Inc.","7825 Douglas Av.",,"Brickhaven","MA"
321,"Corporate Gift Ideas Co.","7734 Strong St.",,"San Francisco","CA"
458,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",,"Madrid",
335,"Cramer Spezialitäten, Ltd","Maubelstr. 90",,"Brandenburg",
385,"Cruz & Sons Co.","15 McCallum Street","NatWest Center #13-03","Makati City",
171,"Daedalus Designs Imports","184, chaussée de Tournai",,"Lille",
145,"Danish Wholesale Imports","Vinbæltet 34",,"Kobenhavn",
307,"Der Hund Imports","Obere Str. 57",,"Berlin",
157,"Diecast Classics Inc.","7586 Pompton St.",,"Allentown","PA"
495,"Diecast Collectables","6251 Ingle Ln.",,"Boston","MA"
489,"Double Decker Gift Stores, Ltd","120 Hanover Sq.",,"London",
323,"Down Under Souveniers, Inc","162-164 Grafton Road","Level 2","Auckland  ",
148,"Dragon Souveniers, Ltd.","Bronz Sok.","Bronz Apt. 3/6 Tesvikiye","Singapore",
216,"Enaco Distributors","Rambla de Cataluña, 23",,"Barcelona",
141,"Euro+ Shopping Channel","C/ Moralzarzal, 86",,"Madrid",
412,"Extreme Desk Decorations, Ltd","101 Lambton Quay","Level 11","Wellington",
443,"Feuer Online Stores, Inc","Heerstr. 22",,"Leipzig",
273,"Franken Gifts, Co","Berliner Platz 43",,"München",
473,"Frau da Collezione","20093 Cologno Monzese","Alessandro Volta 16","Milan",
462,"FunGiftIdeas.com","1785 First Street",,"New Bedford","MA"
175,"Gift Depot Inc.","25593 South Bay Ln.",,"Bridgewater","CT"
447,"Gift Ideas Corp.","2440 Pompton St.",,"Glendale","CT"
362,"Gifts4AllAges.com","8616 Spinnaker Dr.",,"Boston","MA"
357,"GiftsForHim.com","199 Great North Road",,"Auckland",
166,"Handji Gifts& Co","106 Linden Road Sandown","2nd Floor","Singapore",
125,"Havel & Zbyszek Co","ul. Filtrowa 68",,"Warszawa",
227,"Heintze Collectables","Smagsloget 45",,"Århus",
167,"Herkku Gifts","Brehmen St. 121","PR 334 Sentrum","Bergen",
484,"Iberia Gift Imports, Corp.","C/ Romero, 33",,"Sevilla",
496,"Kelly's Gift Shop","Arenales 1938 3'A'",,"Auckland  ",
211,"King Kong Collectables, Co.","Bank of China Tower","1 Garden Road","Central Hong Kong",
361,"Kommission Auto","Luisenstr. 48",,"Münster",
480,"Kremlin Collectables, Co.","2 Pobedy Square",,"Saint Petersburg",
386,"L'ordine Souveniers","Strada Provinciale 124",,"Reggio Emilia",
172,"La Corne D'abondance, Co.","265, boulevard Charonne",,"Paris",
119,"La Rochelle Gifts","67, rue des Cinquante Otages",,"Nantes",
131,"Land of Toys Inc.","897 Long Airport Avenue",,"NYC","NY"
369,"Lisboa Souveniers, Inc","Jardim das rosas n. 32",,"Lisboa",
