"cu_customerNumber","cu_customerName","or_orderDate","or_status","sumCost"
177,"Osaka Souveniers Co.","04/13/2004 00:00:00","Shipped",15184
209,"Mini Caravy","04/13/2004 00:00:00","Shipped",36069
456,"Microscale Inc.","04/20/2004 00:00:00","Shipped",1680
495,"Diecast Collectables","04/26/2004 00:00:00","Shipped",6277
141,"Euro+ Shopping Channel","04/29/2004 00:00:00","Shipped",26155
455,"Super Scale Inc.","05/04/2004 00:00:00","Shipped",32239
141,"Euro+ Shopping Channel","05/05/2004 00:00:00","Shipped",35422
334,"Suominen Souveniers","05/05/2004 00:00:00","Shipped",28395
131,"Land of Toys Inc.","05/07/2004 00:00:00","Cancelled",41446
173,"Cambridge Collectables Co.","05/08/2004 00:00:00","Shipped",11844
450,"The Sharp Gifts Warehouse","05/11/2004 00:00:00","Shipped",42799
328,"Tekni Collectables Inc.","05/18/2004 00:00:00","Shipped",31103
406,"Auto Canal+ Petit","05/26/2004 00:00:00","Shipped",25081
201,"UK Collectables, Ltd.","06/01/2004 00:00:00","Cancelled",45444
323,"Down Under Souveniers, Inc","06/03/2004 00:00:00","Shipped",37281
209,"Mini Caravy","06/04/2004 00:00:00","Shipped",4632
145,"Danish Wholesale Imports","06/08/2004 00:00:00","Shipped",4711
450,"The Sharp Gifts Warehouse","06/14/2004 00:00:00","Shipped",16754
398,"Tokyo Collectables, Ltd","06/15/2004 00:00:00","Shipped",22039
166,"Handji Gifts& Co","06/15/2004 00:00:00","Shipped",44164
357,"GiftsForHim.com","06/16/2004 00:00:00","Cancelled",37768
233,"Québec Home Shopping Network","06/17/2004 00:00:00","Shipped",22999
141,"Euro+ Shopping Channel","06/24/2004 00:00:00","Cancelled",47066
175,"Gift Depot Inc.","06/28/2004 00:00:00","Shipped",42044
362,"Gifts4AllAges.com","06/30/2004 00:00:00","Shipped",18473
471,"Australian Collectables, Ltd","07/02/2004 00:00:00","Shipped",9415
386,"L'ordine Souveniers","07/06/2004 00:00:00","Shipped",51619
151,"Muscle Machine Inc","07/07/2004 00:00:00","Shipped",20316
412,"Extreme Desk Decorations, Ltd","07/12/2004 00:00:00","Shipped",35036
382,"Salzburg Collectables","07/16/2004 00:00:00","Shipped",6420
282,"Souveniers And Things Co.","07/19/2004 00:00:00","Shipped",35807
124,"Mini Gifts Distributors Ltd.","07/20/2004 00:00:00","Shipped",37431
157,"Diecast Classics Inc.","07/20/2004 00:00:00","Shipped",23716
314,"Petit Auto","07/21/2004 00:00:00","Shipped",45352
379,"Collectables For Less Inc.","07/21/2004 00:00:00","Shipped",12530
119,"La Rochelle Gifts","07/23/2004 00:00:00","Shipped",47925
204,"Online Mini Collectables","08/02/2004 00:00:00","Shipped",51152
148,"Dragon Souveniers, Ltd.","08/04/2004 00:00:00","Shipped",2612
112,"Signal Gift Stores","08/06/2004 00:00:00","Shipped",33348
141,"Euro+ Shopping Channel","08/09/2004 00:00:00","Shipped",20009
249,"Amica Models & Co.","08/17/2004 00:00:00","Shipped",48300
157,"Diecast Classics Inc.","08/19/2004 00:00:00","Shipped",39643
124,"Mini Gifts Distributors Ltd.","08/20/2004 00:00:00","Shipped",47981
260,"Royal Canadian Collectables, Ltd.","08/20/2004 00:00:00","Shipped",37528
